tempo	theta	ref	usig
6.541	98.363	50.000	47.622
6.542	98.392	50.000	47.622
6.543	98.294	50.000	47.622
6.544	98.356	50.000	47.622
6.545	98.497	50.000	47.622
6.546	98.432	50.000	47.622
6.547	98.367	50.000	47.622
6.548	98.356	50.000	47.622
6.549	98.334	50.000	47.622
6.550	98.319	50.000	47.622
6.551	98.345	50.000	47.622
6.552	98.392	50.000	47.622
6.553	98.276	50.000	47.622
6.554	98.388	50.000	47.622
6.555	98.381	50.000	47.622
6.556	98.406	50.000	47.622
6.557	98.294	50.000	47.622
6.558	98.374	50.000	47.622
6.559	98.410	50.000	47.622
6.560	98.291	50.000	47.622
6.561	98.211	50.000	47.622
6.562	98.363	50.000	47.622
6.563	98.345	50.000	47.622
6.564	98.345	50.000	47.622
6.565	98.392	50.000	47.622
6.566	98.316	50.000	47.622
6.567	98.330	50.000	47.622
6.568	98.381	50.000	47.622
6.569	98.432	50.000	47.622
6.570	98.406	50.000	47.622
6.571	98.356	50.000	47.622
6.572	98.323	50.000	47.622
6.573	98.348	50.000	47.622
6.574	98.424	50.000	47.622
6.575	98.388	50.000	47.622
6.576	98.442	50.000	47.622
6.577	98.414	50.000	47.622
6.578	98.363	50.000	47.622
6.579	98.395	50.000	47.622
6.580	98.374	50.000	47.622
6.581	98.370	50.000	47.622
6.582	98.359	50.000	47.622
6.583	98.385	50.000	47.622
6.584	98.377	50.000	47.622
6.585	98.428	50.000	47.622
6.586	98.417	50.000	47.622
6.587	98.395	50.000	47.622
6.588	98.406	50.000	47.622
6.589	98.374	50.000	47.622
6.590	98.388	50.000	47.622
6.591	98.363	50.000	47.622
6.592	98.410	50.000	47.622
6.593	98.410	50.000	47.622
6.594	98.414	50.000	47.622
6.595	98.395	50.000	47.622
6.596	98.385	50.000	47.622
6.597	98.377	50.000	47.622
6.598	98.395	50.000	47.622
6.599	98.341	50.000	47.622
6.600	98.377	50.000	47.622
6.601	98.388	50.000	47.622
6.602	98.424	50.000	47.622
6.603	98.399	50.000	47.622
6.604	98.410	50.000	47.622
6.605	98.374	50.000	47.622
6.606	98.392	50.000	47.622
6.607	98.435	50.000	47.622
6.608	98.370	50.000	47.622
6.609	98.410	50.000	47.622
6.610	98.399	50.000	47.622
