tempo	theta	ref	usig
16.070	0.628	1.000	0.000
16.071	0.741	1.000	0.000
16.072	0.744	1.000	0.000
16.073	0.624	1.000	0.000
16.074	0.690	1.000	0.000
16.075	0.733	1.000	0.000
16.076	0.693	1.000	0.000
16.077	0.704	1.000	0.000
16.078	0.704	1.000	0.000
16.079	0.668	1.000	0.000
16.080	0.617	1.000	0.000
16.081	0.599	1.000	0.000
16.082	0.668	1.000	0.000
16.083	0.661	1.000	0.000
16.084	0.657	1.000	0.000
16.085	0.712	1.000	0.000
16.086	0.726	1.000	0.000
16.087	0.759	1.000	0.000
16.088	0.712	1.000	0.000
16.089	0.657	1.000	0.000
16.090	0.646	1.000	0.000
16.091	0.595	1.000	0.000
16.092	0.759	1.000	0.000
16.093	0.715	1.000	0.000
16.094	0.759	1.000	0.000
16.095	0.701	1.000	0.000
16.096	0.704	1.000	0.000
16.097	0.777	1.000	0.000
16.098	0.668	1.000	0.000
16.099	0.679	1.000	0.000
16.100	0.566	1.000	0.000
16.101	0.762	1.000	0.000
16.102	0.755	1.000	0.000
16.103	0.701	1.000	0.000
16.104	0.766	1.000	0.000
16.105	0.668	1.000	0.000
16.106	0.715	1.000	0.000
16.107	0.632	1.000	0.000
16.108	0.657	1.000	0.000
16.109	0.621	1.000	0.000
16.110	0.624	1.000	0.000
16.111	0.715	1.000	0.000
16.112	0.701	1.000	0.000
16.113	0.730	1.000	0.000
16.114	0.704	1.000	0.000
16.115	0.712	1.000	0.000
16.116	0.722	1.000	0.000
16.117	0.697	1.000	0.000
16.118	0.697	1.000	0.000
16.119	0.810	1.000	0.000
16.120	0.672	1.000	0.000
16.121	0.686	1.000	0.000
16.122	0.719	1.000	0.000
16.123	0.664	1.000	0.000
16.124	0.701	1.000	0.000
16.125	0.773	1.000	0.000
16.126	0.715	1.000	0.000
16.127	0.759	1.000	0.000
16.128	0.751	1.000	0.000
16.129	0.773	1.000	0.000
16.130	0.737	1.000	0.000
16.131	0.715	1.000	0.000
16.132	0.672	1.000	0.000
16.133	0.664	1.000	0.000
16.134	0.653	1.000	0.000
16.135	0.712	1.000	0.000
16.136	0.744	1.000	0.000
16.137	0.755	1.000	0.000
16.138	0.704	1.000	0.000
16.139	0.835	1.000	0.000
16.140	0.686	1.000	0.000
16.141	0.733	1.000	0.000
16.142	0.704	1.000	0.000
16.143	0.799	1.000	0.000
16.144	0.672	1.000	0.000
16.145	0.744	1.000	0.000
16.146	0.777	1.000	0.000
16.147	0.799	1.000	0.000
16.148	0.730	1.000	0.000
16.149	0.672	1.000	0.000
16.150	0.831	1.000	0.000
16.151	0.668	1.000	0.000
16.152	0.653	1.000	0.000
16.153	0.610	1.000	0.000
16.154	0.559	1.000	0.000
16.155	0.664	1.000	0.000
16.156	0.762	1.000	0.000
16.157	0.621	1.000	0.000
16.158	0.697	1.000	0.000
16.159	0.592	1.000	0.000
16.160	0.617	1.000	0.000
16.161	0.657	1.000	0.000
16.162	0.686	1.000	0.000
16.163	0.646	1.000	0.000
16.164	0.824	1.000	0.000
16.165	0.777	1.000	0.000
16.166	0.722	1.000	0.000
16.167	0.799	1.000	0.000
16.168	0.701	1.000	0.000
16.169	0.664	1.000	0.000
16.170	0.686	1.000	0.000
16.171	0.661	1.000	0.000
16.172	0.704	1.000	0.000
16.173	0.657	1.000	0.000
16.174	0.835	1.000	0.000
16.175	0.795	1.000	0.000
16.176	0.664	1.000	0.000
16.177	0.741	1.000	0.000
16.178	0.820	1.000	0.000
16.179	0.672	1.000	0.000
16.180	0.693	1.000	0.000
16.181	0.715	1.000	0.000
16.182	0.682	1.000	0.000
16.183	0.672	1.000	0.000
16.184	0.697	1.000	0.000
16.185	0.722	1.000	0.000
16.186	0.588	1.000	0.000
16.187	0.664	1.000	0.000
16.188	0.679	1.000	0.000
16.189	0.744	1.000	0.000
16.190	0.697	1.000	0.000
16.191	0.639	1.000	0.000
16.192	0.722	1.000	0.000
16.193	0.773	1.000	0.000
16.194	0.759	1.000	0.000
16.195	0.661	1.000	0.000
16.196	0.755	1.000	0.000
16.197	0.686	1.000	0.000
16.198	0.697	1.000	0.000
16.199	0.697	1.000	0.000
16.200	0.715	1.000	0.000
16.201	0.846	1.000	0.000
16.202	0.686	1.000	0.000
16.203	0.701	1.000	0.000
16.204	0.643	1.000	0.000
16.205	0.690	1.000	0.000
16.206	0.661	1.000	0.000
16.207	0.646	1.000	0.000
16.208	0.664	1.000	0.000
16.209	0.697	1.000	0.000
16.210	0.751	1.000	0.000
16.211	0.693	1.000	0.000
16.212	0.693	1.000	0.000
16.213	0.712	1.000	0.000
16.214	0.679	1.000	0.000
16.215	0.697	1.000	0.000
16.216	0.715	1.000	0.000
16.217	0.751	1.000	0.000
16.218	0.664	1.000	0.000
16.219	0.679	1.000	0.000
16.220	0.624	1.000	0.000
16.221	0.606	1.000	0.000
16.222	0.646	1.000	0.000
16.223	0.668	1.000	0.000
16.224	0.751	1.000	0.000
16.225	0.682	1.000	0.000
16.226	0.722	1.000	0.000
16.227	0.657	1.000	0.000
16.228	0.621	1.000	0.000
16.229	0.766	1.000	0.000
16.230	0.733	1.000	0.000
16.231	0.664	1.000	0.000
16.232	0.715	1.000	0.000
16.233	0.737	1.000	0.000
16.234	0.791	1.000	0.000
16.235	0.657	1.000	0.000
16.236	0.726	1.000	0.000
16.237	0.639	1.000	0.000
16.238	0.690	1.000	0.000
16.239	0.675	1.000	0.000
16.240	0.773	1.000	0.000
16.241	0.755	1.000	0.000
16.242	0.755	1.000	0.000
16.243	0.664	1.000	0.000
16.244	0.657	1.000	0.000
16.245	0.722	1.000	0.000
16.246	0.762	1.000	0.000
16.247	0.748	1.000	0.000
16.248	0.733	1.000	0.000
16.249	0.679	1.000	0.000
16.250	0.755	1.000	0.000
16.251	0.668	1.000	0.000
16.252	0.643	1.000	0.000
16.253	0.653	1.000	0.000
16.254	0.668	1.000	0.000
16.255	0.664	1.000	0.000
16.256	0.748	1.000	0.000
16.257	0.682	1.000	0.000
16.258	0.708	1.000	0.000
16.259	0.719	1.000	0.000
16.260	0.791	1.000	0.000
16.261	0.744	1.000	0.000
16.262	0.639	1.000	0.000
16.263	0.741	1.000	0.000
16.264	0.733	1.000	0.000
16.265	0.726	1.000	0.000
16.266	0.686	1.000	0.000
16.267	0.621	1.000	0.000
16.268	0.566	1.000	0.000
16.269	0.617	1.000	0.000
16.270	0.813	1.000	0.000
16.271	0.755	1.000	0.000
16.272	0.704	1.000	0.000
16.273	0.643	1.000	0.000
16.274	0.697	1.000	0.000
16.275	0.795	1.000	0.000
16.276	0.737	1.000	0.000
16.277	0.719	1.000	0.000
16.278	0.726	1.000	0.000
16.279	0.784	1.000	0.000
16.280	0.632	1.000	0.000
16.281	0.766	1.000	0.000
16.282	0.701	1.000	0.000
16.283	0.744	1.000	0.000
16.284	0.759	1.000	0.000
16.285	0.668	1.000	0.000
16.286	0.759	1.000	0.000
16.287	0.646	1.000	0.000
16.288	0.643	1.000	0.000
16.289	0.675	1.000	0.000
16.290	0.686	1.000	0.000
16.291	0.701	1.000	0.000
16.292	0.675	1.000	0.000
16.293	0.748	1.000	0.000
16.294	0.759	1.000	0.000
16.295	0.744	1.000	0.000
16.296	0.588	1.000	0.000
16.297	0.624	1.000	0.000
16.298	0.661	1.000	0.000
16.299	0.661	1.000	0.000
16.300	0.712	1.000	0.000
16.301	0.773	1.000	0.000
16.302	0.751	1.000	0.000
16.303	0.653	1.000	0.000
16.304	0.693	1.000	0.000
16.305	0.701	1.000	0.000
16.306	0.661	1.000	0.000
16.307	0.733	1.000	0.000
16.308	0.744	1.000	0.000
16.309	0.784	1.000	0.000
16.310	0.628	1.000	0.000
16.311	0.697	1.000	0.000
16.312	0.606	1.000	0.000
16.313	0.621	1.000	0.000
16.314	0.719	1.000	0.000
16.315	0.766	1.000	0.000
16.316	0.744	1.000	0.000
16.317	0.650	1.000	0.000
16.318	0.650	1.000	0.000
16.319	0.614	1.000	0.000
16.320	0.682	1.000	0.000
16.321	0.690	1.000	0.000
16.322	0.686	1.000	0.000
16.323	0.755	1.000	0.000
16.324	0.672	1.000	0.000
16.325	0.722	1.000	0.000
16.326	0.614	1.000	0.000
16.327	0.679	1.000	0.000
16.328	0.643	1.000	0.000
16.329	0.704	1.000	0.000
16.330	0.719	1.000	0.000
16.331	0.737	1.000	0.000
16.332	0.635	1.000	0.000
16.333	0.766	1.000	0.000
16.334	0.643	1.000	0.000
16.335	0.733	1.000	0.000
16.336	0.722	1.000	0.000
16.337	0.632	1.000	0.000
16.338	0.726	1.000	0.000
16.339	0.668	1.000	0.000
16.340	0.701	1.000	0.000
16.341	0.770	1.000	0.000
16.342	0.741	1.000	0.000
16.343	0.672	1.000	0.000
16.344	0.635	1.000	0.000
16.345	0.653	1.000	0.000
16.346	0.682	1.000	0.000
16.347	0.664	1.000	0.000
16.348	0.730	1.000	0.000
16.349	0.726	1.000	0.000
16.350	0.730	1.000	0.000
16.351	0.643	1.000	0.000
16.352	0.650	1.000	0.000
16.353	0.657	1.000	0.000
16.354	0.839	1.000	0.000
16.355	0.755	1.000	0.000
16.356	0.770	1.000	0.000
16.357	0.751	1.000	0.000
16.358	0.748	1.000	0.000
16.359	0.712	1.000	0.000
16.360	0.657	1.000	0.000
16.361	0.701	1.000	0.000
16.362	0.675	1.000	0.000
16.363	0.719	1.000	0.000
16.364	0.781	1.000	0.000
16.365	0.751	1.000	0.000
16.366	0.784	1.000	0.000
16.367	0.708	1.000	0.000
16.368	0.701	1.000	0.000
16.369	0.661	1.000	0.000
16.370	0.762	1.000	0.000
16.371	0.653	1.000	0.000
16.372	0.624	1.000	0.000
16.373	0.595	1.000	0.000
16.374	0.668	1.000	0.000
16.375	0.672	1.000	0.000
16.376	0.614	1.000	0.000
16.377	0.624	1.000	0.000
16.378	0.646	1.000	0.000
16.379	0.632	1.000	0.000
16.380	0.762	1.000	0.000
16.381	0.653	1.000	0.000
16.382	0.624	1.000	0.000
16.383	0.595	1.000	0.000
16.384	0.657	1.000	0.000
16.385	0.621	1.000	0.000
16.386	0.831	1.000	0.000
16.387	0.715	1.000	0.000
16.388	0.693	1.000	0.000
16.389	0.762	1.000	0.000
16.390	0.748	1.000	0.000
16.391	0.737	1.000	0.000
16.392	0.639	1.000	0.000
16.393	0.679	1.000	0.000
16.394	0.715	1.000	0.000
16.395	0.708	1.000	0.000
16.396	0.708	1.000	0.000
16.397	0.755	1.000	0.000
16.398	0.726	1.000	0.000
16.399	0.737	1.000	0.000
16.400	0.708	1.000	0.000
16.401	0.762	1.000	0.000
16.402	0.704	1.000	0.000
16.403	0.773	1.000	0.000
16.404	0.610	1.000	0.000
16.405	0.817	1.000	0.000
16.406	0.766	1.000	0.000
16.407	0.748	1.000	0.000
16.408	0.682	1.000	0.000
16.409	0.777	1.000	0.000
16.410	0.661	1.000	0.000
16.411	0.733	1.000	0.000
16.412	0.795	1.000	0.000
16.413	0.802	1.000	0.000
16.414	0.784	1.000	0.000
16.415	0.864	1.000	0.000
16.416	0.741	1.000	0.000
16.417	0.690	1.000	0.000
16.418	0.675	1.000	0.000
16.419	0.704	1.000	0.000
16.420	0.719	1.000	0.000
16.421	0.730	1.000	0.000
16.422	0.682	1.000	0.000
16.423	0.704	1.000	0.000
16.424	0.704	1.000	0.000
16.425	0.712	1.000	0.000
16.426	0.693	1.000	0.000
16.427	0.799	1.000	0.000
16.428	0.675	1.000	0.000
16.429	0.701	1.000	0.000
16.430	0.766	1.000	0.000
16.431	0.730	1.000	0.000
16.432	0.744	1.000	0.000
16.433	0.693	1.000	0.000
16.434	0.653	1.000	0.000
16.435	0.595	1.000	0.000
16.436	0.755	1.000	0.000
16.437	0.737	1.000	0.000
16.438	0.762	1.000	0.000
16.439	0.726	1.000	0.000
16.440	0.653	1.000	0.000
16.441	0.755	1.000	0.000
16.442	0.751	1.000	0.000
16.443	0.810	1.000	0.000
16.444	0.682	1.000	0.000
16.445	0.697	1.000	0.000
16.446	0.628	1.000	0.000
16.447	0.635	1.000	0.000
16.448	0.635	1.000	0.000
16.449	0.624	1.000	0.000
16.450	0.653	1.000	0.000
16.451	0.635	1.000	0.000
16.452	0.617	1.000	0.000
16.453	0.690	1.000	0.000
16.454	0.650	1.000	0.000
16.455	0.682	1.000	0.000
16.456	0.672	1.000	0.000
16.457	0.650	1.000	0.000
16.458	0.686	1.000	0.000
16.459	0.715	1.000	0.000
16.460	0.748	1.000	0.000
16.461	0.755	1.000	0.000
16.462	0.682	1.000	0.000
16.463	0.624	1.000	0.000
16.464	0.766	1.000	0.000
16.465	0.545	1.000	0.000
16.466	0.682	1.000	0.000
16.467	0.668	1.000	0.000
16.468	0.748	1.000	0.000
16.469	0.802	1.000	0.000
16.470	0.741	1.000	0.000
16.471	0.701	1.000	0.000
16.472	0.661	1.000	0.000
16.473	0.719	1.000	0.000
16.474	0.719	1.000	0.000
16.475	0.661	1.000	0.000
16.476	0.682	1.000	0.000
16.477	0.672	1.000	0.000
16.478	0.726	1.000	0.000
16.479	0.773	1.000	0.000
16.480	0.672	1.000	0.000
16.481	0.646	1.000	0.000
16.482	0.679	1.000	0.000
16.483	0.719	1.000	0.000
16.484	0.737	1.000	0.000
16.485	0.748	1.000	0.000
16.486	0.741	1.000	0.000
16.487	0.730	1.000	0.000
16.488	0.643	1.000	0.000
16.489	0.712	1.000	0.000
16.490	0.733	1.000	0.000
16.491	0.791	1.000	0.000
16.492	0.632	1.000	0.000
16.493	0.679	1.000	0.000
16.494	0.712	1.000	0.000
16.495	0.693	1.000	0.000
16.496	0.672	1.000	0.000
16.497	0.653	1.000	0.000
16.498	0.653	1.000	0.000
16.499	0.653	1.000	0.000
16.500	0.643	1.000	0.000
16.501	0.719	1.000	0.000
16.502	0.701	1.000	0.000
16.503	0.682	1.000	0.000
16.504	0.741	1.000	0.000
16.505	0.773	1.000	0.000
16.506	0.686	1.000	0.000
16.507	0.748	1.000	0.000
16.508	0.755	1.000	0.000
16.509	0.690	1.000	0.000
16.510	0.766	1.000	0.000
16.511	0.690	1.000	0.000
16.512	0.690	1.000	0.000
16.513	0.733	1.000	0.000
16.514	0.675	1.000	0.000
16.515	0.599	1.000	0.000
16.516	0.755	1.000	0.000
16.517	0.617	1.000	0.000
16.518	0.595	1.000	0.000
16.519	0.737	1.000	0.000
16.520	0.704	1.000	0.000
16.521	0.668	1.000	0.000
16.522	0.701	1.000	0.000
16.523	0.675	1.000	0.000
16.524	0.675	1.000	0.000
16.525	0.701	1.000	0.000
16.526	0.690	1.000	0.000
16.527	0.842	1.000	0.000
16.528	0.744	1.000	0.000
16.529	0.766	1.000	0.000
16.530	0.704	1.000	0.000
16.531	0.686	1.000	0.000
16.532	0.766	1.000	0.000
16.533	0.682	1.000	0.000
16.534	0.693	1.000	0.000
16.535	0.759	1.000	0.000
16.536	0.682	1.000	0.000
16.537	0.781	1.000	0.000
16.538	0.653	1.000	0.000
16.539	0.650	1.000	0.000
16.540	0.588	1.000	0.000
16.541	0.686	1.000	0.000
16.542	0.682	1.000	0.000
16.543	0.610	1.000	0.000
16.544	0.708	1.000	0.000
16.545	0.653	1.000	0.000
16.546	0.726	1.000	0.000
16.547	0.744	1.000	0.000
16.548	0.784	1.000	0.000
16.549	0.770	1.000	0.000
16.550	0.686	1.000	0.000
16.551	0.715	1.000	0.000
16.552	0.697	1.000	0.000
16.553	0.661	1.000	0.000
16.554	0.715	1.000	0.000
16.555	0.737	1.000	0.000
16.556	0.788	1.000	0.000
16.557	0.762	1.000	0.000
16.558	0.762	1.000	0.000
16.559	0.704	1.000	0.000
16.560	0.682	1.000	0.000
16.561	0.755	1.000	0.000
16.562	0.643	1.000	0.000
16.563	0.646	1.000	0.000
16.564	0.672	1.000	0.000
16.565	0.653	1.000	0.000
16.566	0.704	1.000	0.000
16.567	0.664	1.000	0.000
16.568	0.682	1.000	0.000
16.569	0.737	1.000	0.000
16.570	0.668	1.000	0.000
16.571	0.690	1.000	0.000
16.572	0.708	1.000	0.000
16.573	0.610	1.000	0.000
16.574	0.712	1.000	0.000
16.575	0.693	1.000	0.000
16.576	0.570	1.000	0.000
16.577	0.657	1.000	0.000
16.578	0.635	1.000	0.000
16.579	0.643	1.000	0.000
16.580	0.639	1.000	0.000
16.581	0.733	1.000	0.000
16.582	0.693	1.000	0.000
16.583	0.730	1.000	0.000
16.584	0.653	1.000	0.000
16.585	0.657	1.000	0.000
16.586	0.672	1.000	0.000
16.587	0.664	1.000	0.000
16.588	0.686	1.000	0.000
16.589	0.726	1.000	0.000
16.590	0.679	1.000	0.000
16.591	0.737	1.000	0.000
16.592	0.701	1.000	0.000
16.593	0.672	1.000	0.000
16.594	0.624	1.000	0.000
16.595	0.668	1.000	0.000
16.596	0.675	1.000	0.000
16.597	0.686	1.000	0.000
16.598	0.650	1.000	0.000
16.599	0.737	1.000	0.000
16.600	0.802	1.000	0.000
16.601	0.610	1.000	0.000
16.602	0.799	1.000	0.000
16.603	0.704	1.000	0.000
16.604	0.635	1.000	0.000
16.605	0.802	1.000	0.000
16.606	0.810	1.000	0.000
16.607	0.766	1.000	0.000
16.608	0.791	1.000	0.000
16.609	0.675	1.000	0.000
16.610	0.748	1.000	0.000
16.611	0.937	1.000	0.000
